ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2100,10.5505651073578,3.0839936827779,20.616421909847,6.202079581868,15.5560056032161,7.44937388509437,13.9637841022966,11.1006,6.3669,-24.1672,65.8659
AIS,WAIS,2100,3.09258239608206,-3.97660730285291,10.9186401574828,-1.04529916085188,7.43986441596951,0.154602564054811,6.13044515337065,3.2350,4.6129,-15.1760,25.3682
AIS,EAIS,2100,0.382451703772728,-4.8752988423943,6.44196110912115,-2.70406614080564,3.68337177490141,-1.8121359690443,2.67831440281312,0.4986,3.5474,-11.6762,19.1417
AIS,PEN,2100,0.448745421375568,-1.08962067980383,2.01246727737494,-0.486565458170992,1.39654669806335,-0.225262758790672,1.13003405066617,0.4552,0.9585,-2.5143,3.2715
AIS,ALL,2100,4.0309545905384,-5.32697095353337,14.2359720962449,-1.40309020312728,9.70145744575243,0.100541972538211,8.07640838026836,4.189,5.975,-15.740,29.268
Glaciers,region_1,2100,2.52718748828029,1.20755950255024,3.80139986753045,1.75958480660803,3.29005015508531,1.98408188840069,3.06892033043267,2.5733,0.8261,-0.2776,4.3300
Glaciers,region_2,2100,0.208968637577392,0.136121337058198,0.253617332008839,0.168004124941947,0.240870910555346,0.180518146223091,0.232996477547522,0.2176,0.0400,0.0540,0.2600
Glaciers,region_3,2100,2.77625955733423,1.22480192722282,4.40796709621545,1.8695190126554,3.70949264588261,2.13310060369565,3.43259085099417,2.7941,0.9865,-0.0993,6.4006
Glaciers,region_4,2100,1.14926093760253,0.473681685174289,1.79811480847855,0.756227497769028,1.53958419513718,0.871150366508671,1.42662091635532,1.1627,0.4160,-0.3357,2.0500
Glaciers,region_5,2100,1.84784354049177,0.797602547177265,2.88467097667181,1.23612970780057,2.46205020295002,1.41471440322726,2.28284601137851,1.8597,0.6610,-0.5139,3.3600
Glaciers,region_6,2100,0.436262142738263,0.0864377357273614,0.769646578771717,0.23330557396935,0.636246719203931,0.292828523826145,0.578452907525785,0.4432,0.2078,-0.2555,0.9100
Glaciers,region_7,2100,1.28854004105479,0.572474742070972,1.68340494505257,0.89095865653277,1.57761447140143,1.01425667684329,1.50896183875545,1.3891,0.3747,-0.3410,1.7300
Glaciers,region_8,2100,0.0476927697557184,0.0240018600962057,0.0659533642427765,0.0341006589237867,0.0598141216739807,0.0381478697666739,0.0565502615897572,0.0496,0.0137,-0.0043,0.0700
Glaciers,region_9,2100,2.11354938913613,1.0423546231131,3.0011288880012,1.49447867838516,2.68825628852927,1.67722984745123,2.52993267148426,2.1842,0.6314,-0.2220,3.2000
Glaciers,region_10,2100,0.0216160450480578,0.0066035881759926,13.336212107405,0.0134726466902907,0.0269874398520568,0.0160516700409312,0.0257725308007988,0.0255,0.0065,-0.0106,0.0300
Glaciers,region_11,2100,0.0248276095822093,0.0170945303032929,26.2917158682191,0.020564384280738,0.0279093494878367,0.0218765325691976,0.0271802632733304,0.0265,0.0039,0.0094,0.0300
Glaciers,region_12,2100,0.0132839969899494,0.00908488431269997,0.0173890449442248,0.0108489008850674,0.0157099113102663,0.0115839892299848,0.0150133583696692,0.0138,0.0025,0.0048,0.0200
Glaciers,region_13,2100,0.626195162047089,0.349115706159909,0.772997873459792,0.473250192237535,0.734493943220777,0.520994395784344,0.70912173748849,0.6746,0.1368,0.1221,0.7900
Glaciers,region_14,2100,0.520665131568669,0.299233229118675,0.66795480614817,0.394898576982475,0.623735858371416,0.432872070783176,0.597545597206193,0.5436,0.1271,0.0578,0.6900
Glaciers,region_15,2100,0.161195650767309,0.0772942611368579,0.204705848952076,0.115029892120434,0.193422922505655,0.129494339394492,0.185927831934936,0.1777,0.0409,0.0130,0.2100
Glaciers,region_16,2100,0.01450635204788,0.00520176893472551,26.4111063754453,0.00944651336118458,0.0178894301647715,0.0110322828130069,0.0171161976915314,0.0169,0.0043,-0.0038,0.0200
Glaciers,region_17,2100,0.631187319110868,0.260711338844205,1.00370593519395,0.415791668001483,0.84778489091624,0.478781447492873,0.784235959105998,0.6419,0.2304,-0.0931,1.2800
Glaciers,region_18,2100,0.0113495421763392,0.00555247175100066,0.0170441856572447,0.00795298574768098,0.0147286960341769,0.00894707060650724,0.0137478381901449,0.0119,0.0036,-0.0014,0.0200
Glaciers,region_19,2100,2.30893382453145,0.390430727489913,4.25516788182005,1.19425240366184,3.43217671893729,1.52037004485263,3.10168428938059,2.2831,1.1886,-1.5523,6.4438
Glaciers,ALL,2100,17.0379216523028,12.6149198813147,21.7758169435053,14.4688463343491,19.5858739741421,15.2042185466343,18.8341419284212,17.089,2.795,7.009,28.621
LAND_ICE,ALL,2100,31.9073821828278,18.1171541852019,47.7191681774051,24.1853384187473,40.4127674556419,26.2515475621267,37.9252220908753,32.379,9.528,-12.430,89.816
