ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2100,2.02575409003412,-5.66597233966697,11.511540787984,-2.4000617097113,6.82624732278714,-1.11108076747801,5.33372712789114,2.3975,6.3997,-35.0245,54.8599
AIS,WAIS,2100,2.14665998917914,-5.23467107437601,10.2332776220468,-2.169043316111,6.6594935949741,-0.916128006998838,5.30370305189974,2.3039,4.8200,-14.2435,25.5870
AIS,EAIS,2100,1.60961352924857,-3.88224143881297,7.86280768546937,-1.61076157999174,5.03723991055547,-0.679142212479828,3.99670941785076,1.7064,3.6619,-7.7257,19.8366
AIS,PEN,2100,0.409585264134358,-1.18805967015339,2.08715703883648,-0.552968642111597,1.41046048797553,-0.281842143747726,1.12282106465293,0.4422,0.9827,-2.4946,3.7937
AIS,ALL,2100,4.44278887134701,-5.49302751496523,15.0882947919738,-1.51830210249374,10.2641921471145,0.176187189087861,8.3146723761958,4.453,6.180,-14.626,31.230
Glaciers,region_1,2100,1.09933579410758,-0.149851928458788,2.34855882457752,0.37468747893957,1.82400310046165,0.587087341479587,1.61159418696891,1.0992,0.7598,-1.3998,3.7226
Glaciers,region_2,2100,0.148064472161472,0.0689686545679001,0.223696785491698,0.102257859271866,0.193128959412562,0.115714429775346,0.180082927978616,0.1494,0.0473,-0.0145,0.2600
Glaciers,region_3,2100,0.854692484941688,-0.573202879765749,2.28263445269382,0.0264989186892041,1.68288707628517,0.269274329963858,1.44010900168421,0.8516,0.8730,-2.2474,3.5424
Glaciers,region_4,2100,0.451538533058904,-0.195088086094638,1.0974298743217,0.0765378587209908,0.826300363588436,0.186481666063163,0.716476649669182,0.4620,0.3913,-0.8393,1.6975
Glaciers,region_5,2100,0.656090841279189,-0.333673009236454,1.64517534792068,0.0820543546950853,1.22989703285987,0.250340493258553,1.0617258397786,0.6578,0.5856,-1.6428,2.6726
Glaciers,region_6,2100,0.227325750197437,-0.117209841874001,0.570833252772861,0.0275216214641571,0.426898179018226,0.0861026148492922,0.368442149410934,0.2190,0.2057,-0.4170,0.9100
Glaciers,region_7,2100,0.735713531880182,-0.070884248200098,1.47154865888209,0.269468683444937,1.1858304720434,0.40679499779219,1.05735206437598,0.7377,0.4887,-0.9583,1.7300
Glaciers,region_8,2100,0.0310216821326825,0.00702778655281849,0.0545690437648927,0.0171124537297812,0.0448399045951361,0.0211935601803076,0.0408094965524164,0.0315,0.0143,-0.0222,0.0700
Glaciers,region_9,2100,0.860224105962529,-0.169998119702865,1.88995985331241,0.262625892536555,1.45771320564186,0.437795340933991,1.28260271644388,0.8601,0.6152,-1.1404,2.9618
Glaciers,region_10,2100,0.0150564548121719,-0.00289492121785254,0.0275057926308593,0.00485267984504687,0.0236266340119987,0.00792537530083973,0.0214065169156912,0.0168,0.0104,-0.0187,0.0300
Glaciers,region_11,2100,0.0155254286365824,0.00631852436457985,0.0244846446121974,0.0101828506902489,0.0208223439210729,0.0117524873069565,0.0192771454411942,0.0161,0.0055,-0.0050,0.0300
Glaciers,region_12,2100,0.00802440966140529,0.00374618569376755,0.0122999614930926,0.00556836465203483,0.0104753189501354,0.00627215754888651,0.00978142681361207,0.0085,0.0026,-0.0004,0.0173
Glaciers,region_13,2100,0.368508115975548,0.0507541133901229,0.666824452096084,0.184585032208247,0.548191280261997,0.23866056269546,0.496457434559703,0.3630,0.1912,-0.2314,0.7900
Glaciers,region_14,2100,0.270496414061511,0.0453714717831523,0.49466900389487,0.139909703321275,0.400909267039943,0.178190246526079,0.362728051634195,0.2741,0.1367,-0.2033,0.6886
Glaciers,region_15,2100,0.100509833083288,0.00318758537582732,0.185295567171094,0.0443648344723276,0.153644929384588,0.0609464943455348,0.138702645730519,0.1020,0.0573,-0.0827,0.2100
Glaciers,region_16,2100,0.0111657797313726,0.000397729932313911,0.0184071045013075,0.00505011731987048,0.0162054223198076,0.00689888181175426,0.0149170559549783,0.0123,0.0061,-0.0175,0.0200
Glaciers,region_17,2100,0.3170409577803,-0.0395836695525394,0.673691264918131,0.110162808180835,0.523928617198857,0.170799988400283,0.46328666580189,0.3176,0.2115,-0.3426,1.0969
Glaciers,region_18,2100,0.00462130118287466,-0.000925936876901816,0.0101671074285751,0.00142740715215482,0.0078363999181308,0.00235692906535196,0.00689550223670158,0.0051,0.0034,-0.0066,0.0187
Glaciers,region_19,2100,0.688470289008809,-1.22481067590085,2.59912865588621,-0.421056820260347,1.79711453344087,-0.0957461023054255,1.4722454768444,0.6752,1.1576,-2.8208,4.3500
Glaciers,ALL,2100,6.88779520369152,3.50364183433303,10.1338694556442,4.86255794417488,8.80822552856866,5.51426759731584,8.21271594366923,6.859,2.026,-0.140,14.197
LAND_ICE,ALL,2100,13.570799466264,0.0145732861205532,28.0347840524788,5.61354168692263,21.5217374006826,7.91357944804122,18.9909847929259,13.709,9.186,-32.115,69.145
