ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2100,8.05721720089749,0.519628071247171,17.4978453173072,3.72034396110857,12.8036360057473,4.98152360674918,11.3209691416475,8.5552,6.3983,-33.4681,73.3981
AIS,WAIS,2100,11.4821561286252,1.98510096157968,24.1421471279114,5.88597588171123,17.8040296573336,7.4926556989998,15.8028335607489,12.0984,7.1674,-9.7022,74.3952
AIS,EAIS,2100,8.20360622932812,-0.680248989873053,19.7846986915326,2.96934474644458,14.0860995312216,4.47229499918521,12.2337506462286,8.8424,6.6096,-9.6021,77.2274
AIS,PEN,2100,1.95322254500696,1.02784070956668,2.87211864411016,1.41814311363391,2.48627492748305,1.57534709947892,2.33010317042279,1.9589,0.5495,-0.6382,4.0284
AIS,ALL,2100,21.4805379451001,7.54084824094845,43.1950159443726,13.3364329927257,31.2071968345603,15.7668720108047,27.847435497937,22.900,11.729,-7.124,141.151
Glaciers,region_1,2100,2.08995753775676,0.794430479292175,3.39625762566894,1.33645114372472,2.8491008884539,1.5566997000907,2.62619122097428,2.0867,0.7930,-0.9268,4.3300
Glaciers,region_2,2100,0.197606968752442,0.122452312885296,0.250756218668962,0.154783263212808,0.233991303469723,0.167647400949186,0.224506419021625,0.2040,0.0431,0.0127,0.2600
Glaciers,region_3,2100,2.17554828579989,0.668636432842818,3.72778984104128,1.29763434322621,3.06773212642538,1.55379089340293,2.80431976887734,2.1672,0.9207,-1.2214,5.3743
Glaciers,region_4,2100,0.952369193393397,0.290590448404526,1.61453561170801,0.56768765582441,1.33858227948744,0.680210007842125,1.22540841240887,0.9619,0.4095,-0.4036,2.0500
Glaciers,region_5,2100,1.49509723307101,0.46963751597066,2.53607635021692,0.89831201031691,2.09805716953572,1.07263810474629,1.92071118843911,1.4959,0.6264,-0.6329,3.3600
Glaciers,region_6,2100,0.372999704672762,0.0278274075174554,0.711827094195886,0.172704477031533,0.572221961909544,0.231412920601813,0.514143337991726,0.3702,0.2094,-0.4800,0.9100
Glaciers,region_7,2100,1.16807329219262,0.411674109258317,1.65936847782404,0.740150146425662,1.51362792407195,0.869889347761006,1.42645443127475,1.2380,0.4263,-0.5938,1.7300
Glaciers,region_8,2100,0.0429741159155222,0.0190476702994978,0.0637545553168623,0.0291622662061753,0.0560415974007117,0.0332399837559796,0.0523697232447208,0.0442,0.0143,-0.0100,0.0700
Glaciers,region_9,2100,1.75147481785686,0.684555516152946,2.77559215098059,1.13175652411301,2.36516526870013,1.31325348703461,2.1874764878545,1.7844,0.6526,-0.6600,3.2000
Glaciers,region_10,2100,0.0213642808675723,0.00621318876600443,0.02873211199227,0.0131072494149354,0.0268815149740017,0.0157244231762333,0.0256262132737262,0.0249,0.0069,-0.0131,0.0300
Glaciers,region_11,2100,0.0242657380125338,0.0162792458438427,0.0289311291095133,0.0197995256167538,0.0276331552261806,0.0211728934060895,0.0268177990963526,0.0258,0.0043,0.0032,0.0300
Glaciers,region_12,2100,0.0128637060812955,0.00868239274073815,0.0169881856762758,0.0104654023899927,0.0152679422245039,0.0111413745820206,0.0145496378257789,0.0134,0.0026,0.0044,0.0200
Glaciers,region_13,2100,0.573807748270644,0.274714239657194,0.763369695427402,0.405012509239712,0.708054086579781,0.456344683826067,0.674499443421205,0.6062,0.1667,-0.1678,0.7900
Glaciers,region_14,2100,0.455469725522994,0.226307360799342,0.645483155534523,0.323309668359565,0.577965027617625,0.362398082427217,0.544150517484472,0.4665,0.1351,-0.0076,0.6900
Glaciers,region_15,2100,0.148303015605629,0.0582047612535953,0.202508698398362,0.0977528830253671,0.187202847675928,0.113234402533752,0.177664343814253,0.1614,0.0482,-0.0246,0.2100
Glaciers,region_16,2100,0.0139056881683533,0.00422638337897659,0.0189474179920305,0.00858764386052506,0.0176375123669984,0.0102465695081321,0.0167689816631538,0.0161,0.0048,-0.0080,0.0200
Glaciers,region_17,2100,0.533422036853836,0.168271515118787,0.901537132586103,0.321292457303081,0.746616217098863,0.383373166872138,0.684007232454848,0.5301,0.2238,-0.3108,1.2800
Glaciers,region_18,2100,0.00945871046877245,0.00372906388426252,0.0152464684945408,0.00611886176888945,0.0128230088503753,0.00709436651588269,0.0118361987893974,0.0100,0.0035,-0.0036,0.0200
Glaciers,region_19,2100,1.98169578309498,0.0710555223445622,3.89749480400534,0.872966199208868,3.09201374548857,1.19782334787026,2.76634496838909,1.9898,1.1617,-1.9063,6.7330
Glaciers,ALL,2100,14.1503295119998,10.0371392142987,18.6148033722827,11.7109609198665,16.6136609955919,12.4206071919943,15.9005804576825,14.197,2.613,5.483,26.561
LAND_ICE,ALL,2100,44.296406427597,26.5620849038023,70.0672895976056,34.0654182700376,56.0767284514724,37.1109681264019,52.489384410377,45.652,13.762,-5.275,159.565
