ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2016,0.0321112408436599,-0.0213822747872429,0.0876038761127637,0.00156408207436485,0.063178988548774,0.0105551728798847,0.0539144157737697,0.0314,0.0355,-0.0978,0.1871
AIS,WAIS,2016,0.033352344127327,-0.0980236330002498,0.164522794181345,-0.042598281929425,0.109240975836659,-0.0202938850735854,0.0869682928288681,0.0303,0.0814,-0.2224,0.3362
AIS,EAIS,2016,0.012221367575945,-0.0819271535497734,0.109724980475305,-0.0425531315879436,0.0679751148580843,-0.0265581621730329,0.0514724706672622,0.0071,0.0615,-0.1553,0.2910
AIS,PEN,2016,-0.00673581660801489,-0.043861128620979,0.0310794983892989,-0.0282956882283781,0.0150305158200434,-0.0219889345688041,0.00861430108862945,-0.0077,0.0242,-0.0841,0.0666
AIS,ALL,2016,0.0282130828742597,-0.146057689130721,0.209641499608584,-0.0681633848851514,0.12847388033708,-0.0406196540097533,0.0939703198263811,0.030,0.104,-0.231,0.367
Glaciers,region_1,2016,0.0174902004045854,-0.00896784342740856,0.0439436998308429,0.0021432847384875,0.0328354235602613,0.0066440522736215,0.0283358929383513,0.0179,0.0150,-0.0275,0.0770
Glaciers,region_2,2016,0.00324075374592685,-0.00110435341562246,0.00751798644252874,0.000733479965193345,0.00575499852930576,0.00149081514475655,0.0050264199083714,0.0037,0.0026,-0.0040,0.0115
Glaciers,region_3,2016,0.0112762458483656,-0.00880044497782055,0.0313546549096521,-0.000367267744524149,0.0229274299101787,0.0030416410270976,0.0195055307350846,0.0113,0.0118,-0.0386,0.0433
Glaciers,region_4,2016,0.00533863378839255,-0.00457367879694325,0.0152678277274706,-0.000412360065289977,0.0111030785743979,0.00126767058206641,0.00940482280847527,0.0053,0.0059,-0.0129,0.0238
Glaciers,region_5,2016,0.0108854226282002,-0.00810706989605773,0.0298781813443538,-0.000131775483501892,0.0219031235472304,0.00309715781473655,0.0186708361724029,0.0100,0.0117,-0.0265,0.0475
Glaciers,region_6,2016,0.00172668199224815,-0.00268147869168152,0.00616036058729194,-0.000847965023419577,0.00428579555341146,-9.52242366066377e-05,0.00351601235880413,0.0020,0.0026,-0.0047,0.0095
Glaciers,region_7,2016,0.00881288237280642,-0.00422448808727344,0.0218520250630311,0.00125090150126796,0.016369918979419,0.00347421574689873,0.0141594808822234,0.0092,0.0079,-0.0138,0.0357
Glaciers,region_8,2016,-4.04367093995996e-05,-0.00109281586238322,0.000608778165805272,-0.00044220131974061,0.000361327900941411,-0.00034480383844582,0.00026393041964662,0.0004,0.0004,-0.0009,0.0018
