ice_source,region,year,mean,sd
GrIS,ALL,2016,0.043,0.031
AIS,WAIS,2016,0.038,0.076
AIS,EAIS,2016,-0.080,0.049
AIS,PEN,2016,-0.014,0.020
AIS,ALL,2016,-0.056,0.085
Glaciers,region_1,2016,0.017,0.014
Glaciers,region_2,2016,0.004,0.002
Glaciers,region_3,2016,0.010,0.009
Glaciers,region_4,2016,0.004,0.004
Glaciers,region_5,2016,0.010,0.009
Glaciers,region_6,2016,0.002,0.002
Glaciers,region_7,2016,0.010,0.010
Glaciers,region_8,2016,0.000,0.000
Glaciers,region_9,2016,0.010,0.008
Glaciers,region_10,2016,0.000,0.000
Glaciers,region_11,2016,0.001,0.000
Glaciers,region_12,2016,0.000,0.000
Glaciers,region_13,2016,0.006,0.004
Glaciers,region_14,2016,0.004,0.004
Glaciers,region_15,2016,0.002,0.001
Glaciers,region_16,2016,0.000,0.000
Glaciers,region_17,2016,0.004,0.006
Glaciers,region_18,2016,0.000,0.000
Glaciers,region_19,2016,0.005,0.014
Glaciers,ALL,2016,0.090,0.029
GrIS,ALL,2017,0.058,0.070
AIS,WAIS,2017,0.082,0.111
AIS,EAIS,2017,-0.059,0.042
AIS,PEN,2017,-0.005,0.028
AIS,ALL,2017,0.017,0.135
Glaciers,region_1,2017,0.031,0.026
Glaciers,region_2,2017,0.007,0.005
Glaciers,region_3,2017,0.016,0.015
Glaciers,region_4,2017,0.007,0.007
Glaciers,region_5,2017,0.018,0.018
Glaciers,region_6,2017,0.004,0.004
Glaciers,region_7,2017,0.017,0.020
Glaciers,region_8,2017,0.001,0.001
Glaciers,region_9,2017,0.017,0.015
Glaciers,region_10,2017,0.001,0.001
Glaciers,region_11,2017,0.001,0.001
Glaciers,region_12,2017,0.001,0.000
Glaciers,region_13,2017,0.011,0.008
Glaciers,region_14,2017,0.008,0.006
Glaciers,region_15,2017,0.004,0.003
Glaciers,region_16,2017,0.001,0.001
Glaciers,region_17,2017,0.009,0.011
Glaciers,region_18,2017,0.000,0.000
Glaciers,region_19,2017,0.012,0.023
Glaciers,ALL,2017,0.168,0.052
GrIS,ALL,2018,0.095,0.080
AIS,WAIS,2018,0.132,0.137
AIS,EAIS,2018,-0.047,0.050
AIS,PEN,2018,0.000,0.030
AIS,ALL,2018,0.086,0.171
Glaciers,region_1,2018,0.042,0.034
Glaciers,region_2,2018,0.011,0.007
Glaciers,region_3,2018,0.023,0.021
Glaciers,region_4,2018,0.012,0.010
Glaciers,region_5,2018,0.027,0.026
Glaciers,region_6,2018,0.007,0.006
Glaciers,region_7,2018,0.027,0.027
Glaciers,region_8,2018,0.001,0.001
Glaciers,region_9,2018,0.026,0.022
Glaciers,region_10,2018,0.001,0.001
Glaciers,region_11,2018,0.002,0.001
Glaciers,region_12,2018,0.001,0.001
Glaciers,region_13,2018,0.018,0.010
Glaciers,region_14,2018,0.013,0.008
Glaciers,region_15,2018,0.006,0.004
Glaciers,region_16,2018,0.001,0.001
Glaciers,region_17,2018,0.014,0.016
Glaciers,region_18,2018,0.001,0.000
Glaciers,region_19,2018,0.018,0.031
Glaciers,ALL,2018,0.251,0.071
GrIS,ALL,2019,0.157,0.089
AIS,WAIS,2019,0.130,0.154
AIS,EAIS,2019,-0.074,0.054
AIS,PEN,2019,0.003,0.032
AIS,ALL,2019,0.059,0.206
Glaciers,region_1,2019,0.055,0.043
Glaciers,region_2,2019,0.014,0.009
Glaciers,region_3,2019,0.032,0.027
Glaciers,region_4,2019,0.017,0.013
Glaciers,region_5,2019,0.037,0.034
Glaciers,region_6,2019,0.010,0.008
Glaciers,region_7,2019,0.037,0.035
Glaciers,region_8,2019,0.002,0.001
Glaciers,region_9,2019,0.036,0.028
Glaciers,region_10,2019,0.001,0.001
Glaciers,region_11,2019,0.002,0.002
Glaciers,region_12,2019,0.001,0.001
Glaciers,region_13,2019,0.025,0.013
Glaciers,region_14,2019,0.017,0.010
Glaciers,region_15,2019,0.008,0.005
Glaciers,region_16,2019,0.001,0.001
Glaciers,region_17,2019,0.019,0.021
Glaciers,region_18,2019,0.001,0.001
Glaciers,region_19,2019,0.026,0.041
Glaciers,ALL,2019,0.342,0.092
GrIS,ALL,2020,0.194,0.104
AIS,WAIS,2020,0.147,0.160
AIS,EAIS,2020,-0.068,0.083
AIS,PEN,2020,-0.000,0.035
AIS,ALL,2020,0.080,0.236
Glaciers,region_1,2020,0.070,0.051
Glaciers,region_2,2020,0.018,0.011
Glaciers,region_3,2020,0.043,0.032
Glaciers,region_4,2020,0.023,0.016
Glaciers,region_5,2020,0.051,0.043
Glaciers,region_6,2020,0.012,0.009
Glaciers,region_7,2020,0.045,0.041
Glaciers,region_8,2020,0.002,0.001
Glaciers,region_9,2020,0.047,0.036
Glaciers,region_10,2020,0.002,0.001
Glaciers,region_11,2020,0.003,0.002
Glaciers,region_12,2020,0.001,0.001
Glaciers,region_13,2020,0.031,0.016
Glaciers,region_14,2020,0.022,0.012
Glaciers,region_15,2020,0.010,0.006
Glaciers,region_16,2020,0.002,0.002
Glaciers,region_17,2020,0.025,0.025
Glaciers,region_18,2020,0.001,0.001
Glaciers,region_19,2020,0.035,0.051
Glaciers,ALL,2020,0.444,0.113
GrIS,ALL,2021,0.217,0.095
AIS,WAIS,2021,0.175,0.196
AIS,EAIS,2021,-0.057,0.082
AIS,PEN,2021,-0.003,0.037
AIS,ALL,2021,0.114,0.271
Glaciers,region_1,2021,0.087,0.060
Glaciers,region_2,2021,0.021,0.013
Glaciers,region_3,2021,0.054,0.038
Glaciers,region_4,2021,0.029,0.020
Glaciers,region_5,2021,0.064,0.052
Glaciers,region_6,2021,0.016,0.010
Glaciers,region_7,2021,0.056,0.049
Glaciers,region_8,2021,0.003,0.002
Glaciers,region_9,2021,0.057,0.041
Glaciers,region_10,2021,0.002,0.001
Glaciers,region_11,2021,0.004,0.002
Glaciers,region_12,2021,0.002,0.001
Glaciers,region_13,2021,0.039,0.018
Glaciers,region_14,2021,0.027,0.014
Glaciers,region_15,2021,0.013,0.006
Glaciers,region_16,2021,0.002,0.002
Glaciers,region_17,2021,0.030,0.029
Glaciers,region_18,2021,0.001,0.001
Glaciers,region_19,2021,0.049,0.066
Glaciers,ALL,2021,0.555,0.136
