ice_source,region,year,mean,sd
Glaciers,region_13,2022,0.052,0.022
Glaciers,region_14,2022,0.033,0.017
Glaciers,region_15,2022,0.018,0.008
Glaciers,region_16,2022,0.004,0.003
Glaciers,region_17,2022,0.037,0.034
Glaciers,region_18,2022,0.001,0.001
Glaciers,region_19,2022,0.172,0.116
Glaciers,ALL,2022,0.869,0.187
Glaciers,region_1,2023,0.144,0.087
Glaciers,region_2,2023,0.029,0.014
Glaciers,region_3,2023,0.108,0.073
Glaciers,region_4,2023,0.065,0.049
Glaciers,region_5,2023,0.101,0.080
Glaciers,region_6,2023,0.024,0.016
Glaciers,region_7,2023,0.070,0.042
Glaciers,region_8,2023,0.004,0.002
Glaciers,region_9,2023,0.083,0.044
Glaciers,region_10,2023,0.004,0.003
Glaciers,region_11,2023,0.004,0.002
Glaciers,region_12,2023,0.002,0.001
Glaciers,region_13,2023,0.060,0.026
Glaciers,region_14,2023,0.038,0.019
Glaciers,region_15,2023,0.020,0.009
Glaciers,region_16,2023,0.004,0.003
Glaciers,region_17,2023,0.043,0.038
Glaciers,region_18,2023,0.001,0.001
Glaciers,region_19,2023,0.195,0.125
Glaciers,ALL,2023,0.998,0.210
Glaciers,region_1,2024,0.163,0.098
Glaciers,region_2,2024,0.033,0.016
Glaciers,region_3,2024,0.122,0.083
Glaciers,region_4,2024,0.073,0.055
Glaciers,region_5,2024,0.115,0.091
Glaciers,region_6,2024,0.028,0.019
Glaciers,region_7,2024,0.080,0.050
Glaciers,region_8,2024,0.004,0.002
Glaciers,region_9,2024,0.098,0.052
Glaciers,region_10,2024,0.004,0.003
Glaciers,region_11,2024,0.005,0.002
Glaciers,region_12,2024,0.002,0.001
Glaciers,region_13,2024,0.068,0.029
Glaciers,region_14,2024,0.043,0.020
Glaciers,region_15,2024,0.022,0.010
Glaciers,region_16,2024,0.005,0.003
Glaciers,region_17,2024,0.049,0.042
Glaciers,region_18,2024,0.001,0.001
Glaciers,region_19,2024,0.217,0.137
Glaciers,ALL,2024,1.132,0.235
Glaciers,region_1,2025,0.182,0.107
Glaciers,region_2,2025,0.036,0.017
Glaciers,region_3,2025,0.137,0.091
Glaciers,region_4,2025,0.082,0.062
Glaciers,region_5,2025,0.128,0.101
Glaciers,region_6,2025,0.032,0.021
Glaciers,region_7,2025,0.092,0.059
Glaciers,region_8,2025,0.005,0.003
Glaciers,region_9,2025,0.111,0.059
Glaciers,region_10,2025,0.005,0.004
Glaciers,region_11,2025,0.005,0.003
Glaciers,region_12,2025,0.003,0.001
Glaciers,region_13,2025,0.076,0.032
Glaciers,region_14,2025,0.048,0.023
Glaciers,region_15,2025,0.025,0.011
Glaciers,region_16,2025,0.005,0.003
Glaciers,region_17,2025,0.055,0.046
Glaciers,region_18,2025,0.002,0.001
Glaciers,region_19,2025,0.240,0.148
Glaciers,ALL,2025,1.270,0.259
Glaciers,region_1,2026,0.201,0.119
Glaciers,region_2,2026,0.040,0.019
Glaciers,region_3,2026,0.153,0.102
Glaciers,region_4,2026,0.092,0.070
Glaciers,region_5,2026,0.141,0.112
Glaciers,region_6,2026,0.035,0.024
Glaciers,region_7,2026,0.103,0.068
Glaciers,region_8,2026,0.005,0.003
Glaciers,region_9,2026,0.123,0.068
Glaciers,region_10,2026,0.005,0.004
Glaciers,region_11,2026,0.005,0.003
Glaciers,region_12,2026,0.003,0.001
Glaciers,region_13,2026,0.085,0.036
Glaciers,region_14,2026,0.053,0.025
Glaciers,region_15,2026,0.028,0.012
Glaciers,region_16,2026,0.006,0.004
Glaciers,region_17,2026,0.061,0.050
Glaciers,region_18,2026,0.002,0.001
Glaciers,region_19,2026,0.260,0.161
Glaciers,ALL,2026,1.401,0.288
Glaciers,region_1,2027,0.218,0.130
Glaciers,region_2,2027,0.043,0.020
Glaciers,region_3,2027,0.170,0.114
Glaciers,region_4,2027,0.101,0.079
Glaciers,region_5,2027,0.154,0.123
Glaciers,region_6,2027,0.039,0.027
Glaciers,region_7,2027,0.114,0.077
Glaciers,region_8,2027,0.006,0.004
Glaciers,region_9,2027,0.136,0.079
Glaciers,region_10,2027,0.006,0.004
Glaciers,region_11,2027,0.006,0.003
Glaciers,region_12,2027,0.003,0.001
Glaciers,region_13,2027,0.094,0.040
Glaciers,region_14,2027,0.058,0.027
Glaciers,region_15,2027,0.030,0.013
Glaciers,region_16,2027,0.006,0.004
Glaciers,region_17,2027,0.066,0.053
Glaciers,region_18,2027,0.002,0.001
Glaciers,region_19,2027,0.280,0.173
Glaciers,ALL,2027,1.533,0.316
Glaciers,region_1,2028,0.238,0.142
Glaciers,region_2,2028,0.046,0.021
Glaciers,region_3,2028,0.186,0.124
Glaciers,region_4,2028,0.110,0.085
Glaciers,region_5,2028,0.168,0.132
Glaciers,region_6,2028,0.043,0.030
Glaciers,region_7,2028,0.128,0.085
Glaciers,region_8,2028,0.007,0.004
Glaciers,region_9,2028,0.152,0.089
Glaciers,region_10,2028,0.006,0.005
Glaciers,region_11,2028,0.006,0.003
Glaciers,region_12,2028,0.003,0.001
Glaciers,region_13,2028,0.104,0.043
Glaciers,region_14,2028,0.064,0.029
Glaciers,region_15,2028,0.033,0.014
Glaciers,region_16,2028,0.007,0.004
Glaciers,region_17,2028,0.072,0.057
Glaciers,region_18,2028,0.002,0.001
Glaciers,region_19,2028,0.303,0.179
Glaciers,ALL,2028,1.678,0.339
Glaciers,region_1,2029,0.259,0.153
Glaciers,region_2,2029,0.049,0.023
Glaciers,region_3,2029,0.202,0.132
Glaciers,region_4,2029,0.119,0.090
Glaciers,region_5,2029,0.181,0.142
Glaciers,region_6,2029,0.047,0.033
Glaciers,region_7,2029,0.140,0.094
Glaciers,region_8,2029,0.007,0.004
Glaciers,region_9,2029,0.167,0.099
Glaciers,region_10,2029,0.007,0.005
Glaciers,region_11,2029,0.007,0.004
Glaciers,region_12,2029,0.003,0.001
Glaciers,region_13,2029,0.112,0.046
Glaciers,region_14,2029,0.070,0.031
Glaciers,region_15,2029,0.036,0.015
Glaciers,region_16,2029,0.007,0.004
Glaciers,region_17,2029,0.077,0.061
Glaciers,region_18,2029,0.002,0.001
Glaciers,region_19,2029,0.322,0.189
Glaciers,ALL,2029,1.816,0.364
Glaciers,region_1,2030,0.280,0.163
Glaciers,region_2,2030,0.053,0.024
Glaciers,region_3,2030,0.221,0.143
Glaciers,region_4,2030,0.128,0.095
Glaciers,region_5,2030,0.195,0.150
Glaciers,region_6,2030,0.051,0.036
Glaciers,region_7,2030,0.155,0.104
Glaciers,region_8,2030,0.008,0.004
Glaciers,region_9,2030,0.182,0.108
Glaciers,region_10,2030,0.007,0.005
Glaciers,region_11,2030,0.007,0.004
Glaciers,region_12,2030,0.004,0.001
Glaciers,region_13,2030,0.120,0.050
Glaciers,region_14,2030,0.075,0.033
Glaciers,region_15,2030,0.039,0.017
Glaciers,region_16,2030,0.007,0.004
Glaciers,region_17,2030,0.083,0.065
Glaciers,region_18,2030,0.002,0.001
Glaciers,region_19,2030,0.345,0.198
Glaciers,ALL,2030,1.964,0.388
Glaciers,region_1,2031,0.301,0.176
Glaciers,region_2,2031,0.057,0.026
Glaciers,region_3,2031,0.238,0.152
Glaciers,region_4,2031,0.137,0.100
Glaciers,region_5,2031,0.207,0.161
Glaciers,region_6,2031,0.056,0.040
Glaciers,region_7,2031,0.169,0.112
Glaciers,region_8,2031,0.009,0.005
Glaciers,region_9,2031,0.198,0.117
Glaciers,region_10,2031,0.008,0.005
Glaciers,region_11,2031,0.008,0.004
Glaciers,region_12,2031,0.004,0.002
Glaciers,region_13,2031,0.129,0.053
Glaciers,region_14,2031,0.080,0.036
Glaciers,region_15,2031,0.041,0.018
Glaciers,region_16,2031,0.008,0.004
Glaciers,region_17,2031,0.088,0.068
Glaciers,region_18,2031,0.003,0.001
Glaciers,region_19,2031,0.364,0.206
Glaciers,ALL,2031,2.103,0.412
Glaciers,region_1,2032,0.322,0.189
Glaciers,region_2,2032,0.060,0.027
Glaciers,region_3,2032,0.254,0.162
Glaciers,region_4,2032,0.146,0.106
Glaciers,region_5,2032,0.219,0.172
Glaciers,region_6,2032,0.060,0.044
Glaciers,region_7,2032,0.183,0.120
Glaciers,region_8,2032,0.009,0.005
Glaciers,region_9,2032,0.214,0.125
Glaciers,region_10,2032,0.008,0.006
Glaciers,region_11,2032,0.008,0.004
Glaciers,region_12,2032,0.004,0.002
Glaciers,region_13,2032,0.137,0.058
Glaciers,region_14,2032,0.085,0.040
Glaciers,region_15,2032,0.044,0.019
Glaciers,region_16,2032,0.008,0.005
Glaciers,region_17,2032,0.093,0.072
Glaciers,region_18,2032,0.003,0.001
Glaciers,region_19,2032,0.382,0.211
Glaciers,ALL,2032,2.240,0.437
Glaciers,region_1,2033,0.344,0.205
Glaciers,region_2,2033,0.064,0.029
Glaciers,region_3,2033,0.270,0.173
Glaciers,region_4,2033,0.154,0.112
Glaciers,region_5,2033,0.233,0.180
Glaciers,region_6,2033,0.064,0.046
Glaciers,region_7,2033,0.195,0.127
Glaciers,region_8,2033,0.010,0.005
Glaciers,region_9,2033,0.229,0.133
Glaciers,region_10,2033,0.009,0.006
Glaciers,region_11,2033,0.009,0.004
Glaciers,region_12,2033,0.004,0.002
Glaciers,region_13,2033,0.145,0.062
Glaciers,region_14,2033,0.090,0.043
Glaciers,region_15,2033,0.046,0.020
Glaciers,region_16,2033,0.008,0.005
Glaciers,region_17,2033,0.099,0.076
Glaciers,region_18,2033,0.003,0.001
Glaciers,region_19,2033,0.403,0.220
Glaciers,ALL,2033,2.378,0.462
Glaciers,region_1,2034,0.363,0.218
Glaciers,region_2,2034,0.068,0.030
Glaciers,region_3,2034,0.289,0.184
Glaciers,region_4,2034,0.163,0.117
Glaciers,region_5,2034,0.246,0.190
Glaciers,region_6,2034,0.068,0.049
Glaciers,region_7,2034,0.207,0.133
Glaciers,region_8,2034,0.010,0.006
Glaciers,region_9,2034,0.242,0.139
Glaciers,region_10,2034,0.009,0.006
Glaciers,region_11,2034,0.009,0.004
Glaciers,region_12,2034,0.004,0.002
Glaciers,region_13,2034,0.153,0.065
Glaciers,region_14,2034,0.095,0.045
Glaciers,region_15,2034,0.049,0.021
Glaciers,region_16,2034,0.009,0.005
Glaciers,region_17,2034,0.105,0.079
Glaciers,region_18,2034,0.003,0.001
Glaciers,region_19,2034,0.422,0.225
Glaciers,ALL,2034,2.517,0.485
Glaciers,region_1,2035,0.380,0.224
Glaciers,region_2,2035,0.071,0.031
Glaciers,region_3,2035,0.309,0.197
Glaciers,region_4,2035,0.174,0.124
Glaciers,region_5,2035,0.260,0.198
Glaciers,region_6,2035,0.072,0.051
Glaciers,region_7,2035,0.219,0.139
Glaciers,region_8,2035,0.011,0.006
Glaciers,region_9,2035,0.256,0.143
Glaciers,region_10,2035,0.010,0.007
Glaciers,region_11,2035,0.010,0.004
Glaciers,region_12,2035,0.005,0.002
Glaciers,region_13,2035,0.162,0.067
Glaciers,region_14,2035,0.101,0.046
Glaciers,region_15,2035,0.051,0.022
Glaciers,region_16,2035,0.009,0.005
Glaciers,region_17,2035,0.111,0.082
Glaciers,region_18,2035,0.003,0.001
Glaciers,region_19,2035,0.445,0.235
Glaciers,ALL,2035,2.659,0.506
Glaciers,region_1,2036,0.400,0.232
Glaciers,region_2,2036,0.074,0.032
Glaciers,region_3,2036,0.328,0.206
Glaciers,region_4,2036,0.184,0.130
Glaciers,region_5,2036,0.273,0.206
Glaciers,region_6,2036,0.077,0.054
Glaciers,region_7,2036,0.232,0.144
Glaciers,region_8,2036,0.012,0.006
Glaciers,region_9,2036,0.271,0.149
Glaciers,region_10,2036,0.010,0.007
Glaciers,region_11,2036,0.010,0.005
Glaciers,region_12,2036,0.005,0.002
Glaciers,region_13,2036,0.172,0.071
Glaciers,region_14,2036,0.108,0.048
Glaciers,region_15,2036,0.054,0.023
Glaciers,region_16,2036,0.009,0.005
Glaciers,region_17,2036,0.118,0.085
Glaciers,region_18,2036,0.003,0.002
Glaciers,region_19,2036,0.467,0.242
Glaciers,ALL,2036,2.808,0.526
Glaciers,region_1,2037,0.425,0.241
Glaciers,region_2,2037,0.078,0.032
Glaciers,region_3,2037,0.346,0.216
Glaciers,region_4,2037,0.194,0.135
Glaciers,region_5,2037,0.288,0.215
Glaciers,region_6,2037,0.081,0.057
Glaciers,region_7,2037,0.247,0.148
Glaciers,region_8,2037,0.012,0.006
Glaciers,region_9,2037,0.289,0.154
Glaciers,region_10,2037,0.011,0.007
Glaciers,region_11,2037,0.011,0.005
Glaciers,region_12,2037,0.005,0.002
Glaciers,region_13,2037,0.182,0.074
Glaciers,region_14,2037,0.114,0.050
Glaciers,region_15,2037,0.056,0.024
Glaciers,region_16,2037,0.010,0.005
Glaciers,region_17,2037,0.125,0.089
Glaciers,region_18,2037,0.003,0.002
Glaciers,region_19,2037,0.488,0.247
Glaciers,ALL,2037,2.964,0.545
Glaciers,region_1,2038,0.450,0.252
Glaciers,region_2,2038,0.082,0.034
Glaciers,region_3,2038,0.363,0.226
Glaciers,region_4,2038,0.204,0.142
Glaciers,region_5,2038,0.302,0.225
Glaciers,region_6,2038,0.086,0.060
Glaciers,region_7,2038,0.262,0.153
Glaciers,region_8,2038,0.013,0.006
Glaciers,region_9,2038,0.305,0.159
Glaciers,region_10,2038,0.011,0.007
Glaciers,region_11,2038,0.011,0.005
Glaciers,region_12,2038,0.005,0.002
Glaciers,region_13,2038,0.189,0.076
Glaciers,region_14,2038,0.118,0.052
Glaciers,region_15,2038,0.059,0.025
Glaciers,region_16,2038,0.010,0.005
Glaciers,region_17,2038,0.132,0.092
Glaciers,region_18,2038,0.004,0.002
Glaciers,region_19,2038,0.510,0.254
Glaciers,ALL,2038,3.115,0.566
Glaciers,region_1,2039,0.471,0.260
Glaciers,region_2,2039,0.085,0.034
Glaciers,region_3,2039,0.382,0.237
Glaciers,region_4,2039,0.213,0.149
Glaciers,region_5,2039,0.317,0.234
Glaciers,region_6,2039,0.091,0.063
Glaciers,region_7,2039,0.279,0.160
Glaciers,region_8,2039,0.014,0.006
Glaciers,region_9,2039,0.323,0.165
Glaciers,region_10,2039,0.012,0.007
Glaciers,region_11,2039,0.012,0.005
Glaciers,region_12,2039,0.006,0.002
Glaciers,region_13,2039,0.198,0.078
Glaciers,region_14,2039,0.124,0.054
Glaciers,region_15,2039,0.062,0.026
Glaciers,region_16,2039,0.010,0.005
Glaciers,region_17,2039,0.139,0.094
Glaciers,region_18,2039,0.004,0.002
Glaciers,region_19,2039,0.532,0.261
Glaciers,ALL,2039,3.272,0.588
Glaciers,region_1,2040,0.494,0.268
Glaciers,region_2,2040,0.088,0.035
Glaciers,region_3,2040,0.402,0.247
Glaciers,region_4,2040,0.223,0.155
Glaciers,region_5,2040,0.331,0.243
Glaciers,region_6,2040,0.096,0.066
Glaciers,region_7,2040,0.297,0.168
Glaciers,region_8,2040,0.015,0.007
Glaciers,region_9,2040,0.342,0.172
Glaciers,region_10,2040,0.012,0.008
Glaciers,region_11,2040,0.012,0.005
Glaciers,region_12,2040,0.006,0.002
Glaciers,region_13,2040,0.208,0.081
Glaciers,region_14,2040,0.130,0.056
Glaciers,region_15,2040,0.064,0.027
Glaciers,region_16,2040,0.011,0.005
Glaciers,region_17,2040,0.146,0.097
Glaciers,region_18,2040,0.004,0.002
Glaciers,region_19,2040,0.552,0.267
Glaciers,ALL,2040,3.432,0.609
Glaciers,region_1,2041,0.517,0.281
Glaciers,region_2,2041,0.091,0.036
Glaciers,region_3,2041,0.422,0.257
Glaciers,region_4,2041,0.232,0.162
Glaciers,region_5,2041,0.346,0.251
Glaciers,region_6,2041,0.101,0.069
