ice_source,region,year,mean,sd
GrIS,ALL,2016,0.009,0.024
AIS,WAIS,2016,0.022,0.068
AIS,EAIS,2016,-0.028,0.044
AIS,PEN,2016,-0.011,0.019
AIS,ALL,2016,-0.017,0.086
Glaciers,region_1,2016,0.020,0.017
Glaciers,region_2,2016,0.004,0.002
Glaciers,region_3,2016,0.014,0.015
Glaciers,region_4,2016,0.006,0.007
Glaciers,region_5,2016,0.014,0.012
Glaciers,region_6,2016,0.003,0.003
Glaciers,region_7,2016,0.010,0.006
Glaciers,region_8,2016,0.001,0.001
Glaciers,region_9,2016,0.010,0.008
Glaciers,region_10,2016,0.000,0.000
Glaciers,region_11,2016,0.001,0.000
Glaciers,region_12,2016,0.000,0.000
Glaciers,region_13,2016,0.008,0.005
Glaciers,region_14,2016,0.005,0.004
Glaciers,region_15,2016,0.003,0.002
Glaciers,region_16,2016,0.001,0.001
Glaciers,region_17,2016,0.005,0.005
Glaciers,region_18,2016,0.000,0.000
Glaciers,region_19,2016,0.018,0.021
Glaciers,ALL,2016,0.122,0.036
GrIS,ALL,2017,0.030,0.033
AIS,WAIS,2017,0.046,0.091
AIS,EAIS,2017,-0.024,0.047
AIS,PEN,2017,-0.008,0.025
AIS,ALL,2017,0.015,0.126
Glaciers,region_1,2017,0.041,0.034
Glaciers,region_2,2017,0.008,0.005
Glaciers,region_3,2017,0.026,0.023
Glaciers,region_4,2017,0.014,0.012
Glaciers,region_5,2017,0.027,0.022
Glaciers,region_6,2017,0.005,0.005
Glaciers,region_7,2017,0.018,0.012
Glaciers,region_8,2017,0.001,0.001
Glaciers,region_9,2017,0.020,0.014
Glaciers,region_10,2017,0.001,0.001
Glaciers,region_11,2017,0.001,0.001
Glaciers,region_12,2017,0.001,0.000
Glaciers,region_13,2017,0.015,0.008
Glaciers,region_14,2017,0.010,0.006
Glaciers,region_15,2017,0.005,0.003
Glaciers,region_16,2017,0.001,0.001
Glaciers,region_17,2017,0.010,0.010
Glaciers,region_18,2017,0.000,0.000
Glaciers,region_19,2017,0.035,0.040
Glaciers,ALL,2017,0.240,0.067
GrIS,ALL,2018,0.075,0.045
AIS,WAIS,2018,0.061,0.109
AIS,EAIS,2018,-0.015,0.073
AIS,PEN,2018,-0.009,0.027
AIS,ALL,2018,0.037,0.159
Glaciers,region_1,2018,0.063,0.042
Glaciers,region_2,2018,0.012,0.006
Glaciers,region_3,2018,0.038,0.035
Glaciers,region_4,2018,0.022,0.018
Glaciers,region_5,2018,0.041,0.032
Glaciers,region_6,2018,0.007,0.006
Glaciers,region_7,2018,0.027,0.017
Glaciers,region_8,2018,0.002,0.001
Glaciers,region_9,2018,0.031,0.023
Glaciers,region_10,2018,0.001,0.001
Glaciers,region_11,2018,0.002,0.001
Glaciers,region_12,2018,0.001,0.001
Glaciers,region_13,2018,0.023,0.012
Glaciers,region_14,2018,0.015,0.010
Glaciers,region_15,2018,0.007,0.004
Glaciers,region_16,2018,0.002,0.001
Glaciers,region_17,2018,0.016,0.015
Glaciers,region_18,2018,0.000,0.001
Glaciers,region_19,2018,0.051,0.058
Glaciers,ALL,2018,0.362,0.096
GrIS,ALL,2019,0.112,0.052
AIS,WAIS,2019,0.062,0.123
AIS,EAIS,2019,-0.024,0.083
AIS,PEN,2019,-0.012,0.028
AIS,ALL,2019,0.026,0.180
Glaciers,region_1,2019,0.084,0.050
Glaciers,region_2,2019,0.014,0.008
Glaciers,region_3,2019,0.052,0.046
Glaciers,region_4,2019,0.030,0.024
Glaciers,region_5,2019,0.053,0.041
Glaciers,region_6,2019,0.010,0.008
Glaciers,region_7,2019,0.037,0.023
Glaciers,region_8,2019,0.002,0.001
Glaciers,region_9,2019,0.043,0.032
Glaciers,region_10,2019,0.002,0.002
Glaciers,region_11,2019,0.002,0.001
Glaciers,region_12,2019,0.001,0.001
Glaciers,region_13,2019,0.031,0.016
Glaciers,region_14,2019,0.020,0.012
Glaciers,region_15,2019,0.009,0.006
Glaciers,region_16,2019,0.002,0.002
Glaciers,region_17,2019,0.021,0.018
Glaciers,region_18,2019,0.000,0.001
Glaciers,region_19,2019,0.067,0.075
Glaciers,ALL,2019,0.483,0.122
GrIS,ALL,2020,0.147,0.061
AIS,WAIS,2020,0.060,0.134
AIS,EAIS,2020,-0.025,0.093
AIS,PEN,2020,-0.013,0.029
AIS,ALL,2020,0.022,0.206
Glaciers,region_1,2020,0.102,0.062
Glaciers,region_2,2020,0.017,0.009
Glaciers,region_3,2020,0.067,0.055
Glaciers,region_4,2020,0.037,0.028
Glaciers,region_5,2020,0.065,0.050
Glaciers,region_6,2020,0.013,0.010
Glaciers,region_7,2020,0.046,0.028
Glaciers,region_8,2020,0.003,0.002
Glaciers,region_9,2020,0.054,0.039
Glaciers,region_10,2020,0.002,0.002
Glaciers,region_11,2020,0.003,0.002
Glaciers,region_12,2020,0.001,0.001
Glaciers,region_13,2020,0.038,0.018
Glaciers,region_14,2020,0.025,0.015
Glaciers,region_15,2020,0.012,0.007
Glaciers,region_16,2020,0.003,0.002
Glaciers,region_17,2020,0.027,0.022
Glaciers,region_18,2020,0.000,0.001
Glaciers,region_19,2020,0.082,0.092
Glaciers,ALL,2020,0.598,0.149
GrIS,ALL,2021,0.189,0.075
AIS,WAIS,2021,0.079,0.165
AIS,EAIS,2021,-0.032,0.093
AIS,PEN,2021,-0.009,0.030
AIS,ALL,2021,0.038,0.235
Glaciers,region_1,2021,0.122,0.070
Glaciers,region_2,2021,0.020,0.010
Glaciers,region_3,2021,0.083,0.064
Glaciers,region_4,2021,0.045,0.033
Glaciers,region_5,2021,0.077,0.057
Glaciers,region_6,2021,0.017,0.012
Glaciers,region_7,2021,0.054,0.031
Glaciers,region_8,2021,0.003,0.002
Glaciers,region_9,2021,0.064,0.044
Glaciers,region_10,2021,0.003,0.002
Glaciers,region_11,2021,0.003,0.002
Glaciers,region_12,2021,0.002,0.001
Glaciers,region_13,2021,0.046,0.020
Glaciers,region_14,2021,0.030,0.016
Glaciers,region_15,2021,0.014,0.007
Glaciers,region_16,2021,0.003,0.002
Glaciers,region_17,2021,0.033,0.026
Glaciers,region_18,2021,0.001,0.001
Glaciers,region_19,2021,0.097,0.107
Glaciers,ALL,2021,0.716,0.172
GrIS,ALL,2022,0.217,0.088
AIS,WAIS,2022,0.083,0.181
AIS,EAIS,2022,-0.032,0.099
AIS,PEN,2022,-0.006,0.032
AIS,ALL,2022,0.045,0.247
Glaciers,region_1,2022,0.140,0.078
Glaciers,region_2,2022,0.023,0.012
Glaciers,region_3,2022,0.097,0.072
Glaciers,region_4,2022,0.053,0.039
Glaciers,region_5,2022,0.089,0.066
Glaciers,region_6,2022,0.020,0.014
Glaciers,region_7,2022,0.063,0.036
Glaciers,region_8,2022,0.004,0.002
Glaciers,region_9,2022,0.075,0.049
Glaciers,region_10,2022,0.003,0.003
Glaciers,region_11,2022,0.004,0.002
Glaciers,region_12,2022,0.002,0.001
Glaciers,region_13,2022,0.054,0.023
Glaciers,region_14,2022,0.035,0.018
Glaciers,region_15,2022,0.017,0.008
Glaciers,region_16,2022,0.004,0.003
Glaciers,region_17,2022,0.038,0.031
Glaciers,region_18,2022,0.001,0.001
Glaciers,region_19,2022,0.111,0.121
Glaciers,ALL,2022,0.832,0.194
GrIS,ALL,2023,0.250,0.109
AIS,WAIS,2023,0.085,0.201
AIS,EAIS,2023,-0.052,0.100
AIS,PEN,2023,-0.002,0.034
AIS,ALL,2023,0.032,0.247
Glaciers,region_1,2023,0.160,0.087
Glaciers,region_2,2023,0.027,0.014
Glaciers,region_3,2023,0.109,0.080
Glaciers,region_4,2023,0.060,0.045
Glaciers,region_5,2023,0.100,0.075
Glaciers,region_6,2023,0.024,0.017
Glaciers,region_7,2023,0.073,0.041
Glaciers,region_8,2023,0.005,0.003
Glaciers,region_9,2023,0.086,0.054
Glaciers,region_10,2023,0.004,0.003
Glaciers,region_11,2023,0.005,0.002
Glaciers,region_12,2023,0.002,0.001
Glaciers,region_13,2023,0.061,0.026
Glaciers,region_14,2023,0.040,0.020
Glaciers,region_15,2023,0.020,0.009
Glaciers,region_16,2023,0.004,0.003
Glaciers,region_17,2023,0.043,0.034
Glaciers,region_18,2023,0.001,0.001
Glaciers,region_19,2023,0.127,0.135
Glaciers,ALL,2023,0.949,0.218
GrIS,ALL,2024,0.294,0.126
AIS,WAIS,2024,0.091,0.206
AIS,EAIS,2024,-0.058,0.099
AIS,PEN,2024,-0.003,0.035
AIS,ALL,2024,0.031,0.254
Glaciers,region_1,2024,0.178,0.098
Glaciers,region_2,2024,0.030,0.016
Glaciers,region_3,2024,0.120,0.090
Glaciers,region_4,2024,0.068,0.052
Glaciers,region_5,2024,0.112,0.084
Glaciers,region_6,2024,0.027,0.020
Glaciers,region_7,2024,0.083,0.048
Glaciers,region_8,2024,0.005,0.003
Glaciers,region_9,2024,0.098,0.060
Glaciers,region_10,2024,0.004,0.003
Glaciers,region_11,2024,0.005,0.003
Glaciers,region_12,2024,0.002,0.001
Glaciers,region_13,2024,0.068,0.029
Glaciers,region_14,2024,0.045,0.021
Glaciers,region_15,2024,0.022,0.010
Glaciers,region_16,2024,0.005,0.003
Glaciers,region_17,2024,0.048,0.038
Glaciers,region_18,2024,0.001,0.001
Glaciers,region_19,2024,0.143,0.153
Glaciers,ALL,2024,1.064,0.245
GrIS,ALL,2025,0.335,0.145
AIS,WAIS,2025,0.110,0.230
AIS,EAIS,2025,-0.057,0.116
AIS,PEN,2025,-0.004,0.036
AIS,ALL,2025,0.049,0.301
Glaciers,region_1,2025,0.199,0.108
Glaciers,region_2,2025,0.034,0.017
Glaciers,region_3,2025,0.132,0.097
Glaciers,region_4,2025,0.076,0.058
Glaciers,region_5,2025,0.124,0.092
Glaciers,region_6,2025,0.031,0.022
Glaciers,region_7,2025,0.094,0.053
Glaciers,region_8,2025,0.006,0.003
Glaciers,region_9,2025,0.112,0.065
Glaciers,region_10,2025,0.005,0.004
Glaciers,region_11,2025,0.005,0.003
Glaciers,region_12,2025,0.003,0.001
Glaciers,region_13,2025,0.077,0.032
Glaciers,region_14,2025,0.051,0.023
Glaciers,region_15,2025,0.025,0.011
Glaciers,region_16,2025,0.005,0.004
Glaciers,region_17,2025,0.054,0.041
Glaciers,region_18,2025,0.001,0.001
Glaciers,region_19,2025,0.161,0.170
Glaciers,ALL,2025,1.191,0.270
GrIS,ALL,2026,0.366,0.162
AIS,WAIS,2026,0.125,0.257
AIS,EAIS,2026,-0.090,0.109
AIS,PEN,2026,-0.003,0.038
AIS,ALL,2026,0.032,0.306
Glaciers,region_1,2026,0.224,0.119
Glaciers,region_2,2026,0.037,0.019
Glaciers,region_3,2026,0.146,0.106
Glaciers,region_4,2026,0.084,0.064
Glaciers,region_5,2026,0.139,0.101
Glaciers,region_6,2026,0.036,0.025
Glaciers,region_7,2026,0.106,0.058
Glaciers,region_8,2026,0.006,0.004
Glaciers,region_9,2026,0.124,0.071
Glaciers,region_10,2026,0.005,0.004
Glaciers,region_11,2026,0.006,0.003
Glaciers,region_12,2026,0.003,0.001
Glaciers,region_13,2026,0.085,0.036
Glaciers,region_14,2026,0.056,0.025
Glaciers,region_15,2026,0.028,0.012
Glaciers,region_16,2026,0.005,0.004
Glaciers,region_17,2026,0.059,0.045
Glaciers,region_18,2026,0.001,0.001
Glaciers,region_19,2026,0.178,0.182
Glaciers,ALL,2026,1.328,0.294
GrIS,ALL,2027,0.402,0.179
AIS,WAIS,2027,0.145,0.260
AIS,EAIS,2027,-0.120,0.139
AIS,PEN,2027,-0.002,0.040
AIS,ALL,2027,0.022,0.324
Glaciers,region_1,2027,0.250,0.135
Glaciers,region_2,2027,0.041,0.021
Glaciers,region_3,2027,0.163,0.118
Glaciers,region_4,2027,0.092,0.069
Glaciers,region_5,2027,0.155,0.112
Glaciers,region_6,2027,0.040,0.028
Glaciers,region_7,2027,0.117,0.063
Glaciers,region_8,2027,0.007,0.004
Glaciers,region_9,2027,0.136,0.076
Glaciers,region_10,2027,0.006,0.004
Glaciers,region_11,2027,0.006,0.003
Glaciers,region_12,2027,0.003,0.001
Glaciers,region_13,2027,0.094,0.040
Glaciers,region_14,2027,0.061,0.027
Glaciers,region_15,2027,0.030,0.014
Glaciers,region_16,2027,0.006,0.004
Glaciers,region_17,2027,0.065,0.048
Glaciers,region_18,2027,0.001,0.001
Glaciers,region_19,2027,0.193,0.194
Glaciers,ALL,2027,1.466,0.321
GrIS,ALL,2028,0.443,0.198
AIS,WAIS,2028,0.176,0.293
AIS,EAIS,2028,-0.160,0.156
AIS,PEN,2028,-0.002,0.046
AIS,ALL,2028,0.015,0.372
Glaciers,region_1,2028,0.276,0.152
Glaciers,region_2,2028,0.045,0.023
Glaciers,region_3,2028,0.180,0.129
Glaciers,region_4,2028,0.101,0.075
Glaciers,region_5,2028,0.170,0.123
Glaciers,region_6,2028,0.044,0.031
Glaciers,region_7,2028,0.127,0.070
Glaciers,region_8,2028,0.008,0.004
Glaciers,region_9,2028,0.148,0.083
Glaciers,region_10,2028,0.006,0.004
Glaciers,region_11,2028,0.007,0.003
Glaciers,region_12,2028,0.003,0.002
Glaciers,region_13,2028,0.101,0.044
Glaciers,region_14,2028,0.066,0.029
Glaciers,region_15,2028,0.033,0.014
Glaciers,region_16,2028,0.006,0.004
Glaciers,region_17,2028,0.072,0.052
Glaciers,region_18,2028,0.002,0.001
Glaciers,region_19,2028,0.210,0.207
Glaciers,ALL,2028,1.604,0.350
GrIS,ALL,2029,0.487,0.216
AIS,WAIS,2029,0.208,0.326
AIS,EAIS,2029,-0.181,0.175
AIS,PEN,2029,-0.001,0.049
AIS,ALL,2029,0.025,0.419
Glaciers,region_1,2029,0.298,0.165
Glaciers,region_2,2029,0.048,0.024
Glaciers,region_3,2029,0.197,0.140
Glaciers,region_4,2029,0.110,0.082
Glaciers,region_5,2029,0.185,0.134
Glaciers,region_6,2029,0.048,0.035
Glaciers,region_7,2029,0.138,0.076
Glaciers,region_8,2029,0.008,0.005
Glaciers,region_9,2029,0.161,0.090
Glaciers,region_10,2029,0.007,0.005
Glaciers,region_11,2029,0.007,0.003
Glaciers,region_12,2029,0.004,0.002
Glaciers,region_13,2029,0.111,0.048
Glaciers,region_14,2029,0.072,0.032
Glaciers,region_15,2029,0.035,0.015
Glaciers,region_16,2029,0.007,0.004
Glaciers,region_17,2029,0.080,0.056
Glaciers,region_18,2029,0.002,0.001
Glaciers,region_19,2029,0.226,0.219
Glaciers,ALL,2029,1.742,0.377
GrIS,ALL,2030,0.521,0.243
AIS,WAIS,2030,0.233,0.351
AIS,EAIS,2030,-0.187,0.175
AIS,PEN,2030,-0.005,0.050
AIS,ALL,2030,0.041,0.447
Glaciers,region_1,2030,0.315,0.176
Glaciers,region_2,2030,0.052,0.026
Glaciers,region_3,2030,0.215,0.153
Glaciers,region_4,2030,0.120,0.089
Glaciers,region_5,2030,0.201,0.145
Glaciers,region_6,2030,0.051,0.038
Glaciers,region_7,2030,0.149,0.084
Glaciers,region_8,2030,0.009,0.005
Glaciers,region_9,2030,0.175,0.099
Glaciers,region_10,2030,0.007,0.005
Glaciers,region_11,2030,0.008,0.003
Glaciers,region_12,2030,0.004,0.002
Glaciers,region_13,2030,0.119,0.052
Glaciers,region_14,2030,0.078,0.034
Glaciers,region_15,2030,0.038,0.016
Glaciers,region_16,2030,0.007,0.004
Glaciers,region_17,2030,0.085,0.060
Glaciers,region_18,2030,0.002,0.001
Glaciers,region_19,2030,0.238,0.234
Glaciers,ALL,2030,1.872,0.406
GrIS,ALL,2031,0.578,0.267
AIS,WAIS,2031,0.252,0.360
AIS,EAIS,2031,-0.188,0.207
AIS,PEN,2031,-0.002,0.050
AIS,ALL,2031,0.062,0.495
Glaciers,region_1,2031,0.332,0.186
Glaciers,region_2,2031,0.055,0.028
